ship-state,Revenue
MAHARASHTRA,13335534.14
KARNATAKA,10481114.37
TELANGANA,6916615.65
"UTTAR PRADESH",6816642.08
"TAMIL NADU",6515650.11
DELHI,4346412.46
KERALA,3830227.58
"WEST BENGAL",3507880.44
"ANDHRA PRADESH",3219831.72
HARYANA,2882092.99
Gujarat,2728651.82
RAJASTHAN,1758001.16
"MADHYA PRADESH",1592382.98
BIHAR,1415613.32
ODISHA,1384635.39
PUNJAB,1210699.84
ASSAM,1018136.2
UTTARAKHAND,974143.55
JHARKHAND,919088.21
Goa,637685.85
CHHATTISGARH,570485.83
"HIMACHAL PRADESH",503364.51
"JAMMU & KASHMIR",456932.74
MANIPUR,213981.99
CHANDIGARH,211740.67
PUDUCHERRY,192044.24
"ANDAMAN & NICOBAR ",158723.62
NAGALAND,144094.67
SIKKIM,140828.66
MEGHALAYA,119871.81
"ARUNACHAL PRADESH",97772
TRIPURA,92548.4
"New Delhi",47109.95
"DADRA AND NAGAR",42138.92
MIZORAM,41948.71
LADAKH,38388.43
LAKSHADWEEP,3175.29
orissa,1737
Rajshthan,1126
RJ,1040
rajsthan,964
NL,961
Punjab/Mohali/Zirakpur,568
Pondicherry,529
AR,493
PB,399
APO,0
